Grid,Sample,Length,BD,Height_min,Height_max,Wet_total,Wet_sample,Dry_sample,Notes
KL,L4_1,163,14,1,15,23,13.8,8.5,
KL,L4_2,115,11,1,1,8.5,7.6,4.3,
KL,L4_3,54,6,0.5,0.1,3.5,3.2,1.7,
KL,M2_1,101,7,0.4,1,7,7,3.7,
KL,M1_1,116,11,0.4,1.1,21.6,16.1,18.8,
KL,N2_1,163,12,0.9,1.5,38.5,19.1,10.1,
KL,N2_2,242,23,1.1,2.3,44.5,22.1,11.8,
KL,N2_3,123,10,1.3,0.6,17.5,5.1,7.7,
KL,O2_1,160,16,0.7,1.7,29,13.7,7.2,
KL,O2_2,84,10,0.2,0.8,24.5,16.2,8.7,
KL,O4_1,193,23,0.8,1.6,43.5,20.2,10.2,
KL,O4_2,115,8,0.1,1,7.7,7.7,4.1,
KL,O7_1,260,27,0.1,1.6,57.5,24.9,12.5,
KL,O7_2,105,8,0.2,1,10.5,9.8,4.8,
KL,O7_3,176,15,0.5,1.2,30,20.1,10.3,
KL,O8_1,225,22,1.3,2.1,49,20.8,10.8,
KL,O8_2,175,13,1.2,1.6,15.5,10.5,5.6,
KL,O8_3,77,7,0.2,0.7,9,8.7,4.4,
KL,N10_1,145,11,0.9,1.4,20,15.2,7.9,
KL,N10_2,220,24,0.7,2.2,81,24,13,
KL,N10_3,93,8,0.3,0.9,9,7.9,4.1,
KL,M13_1,210,14,1.5,2.1,24.5,12.8,6.1,
KL,M13_2,245,25,1.4,2.2,56,19.9,10.1,
KL,M13_3,265,29,1.5,2.2,89,20.4,10.7,
KL,L11_1,136,9,0.8,1.3,11.5,11.5,6.2,
KL,L11_2,196,23,0.8,1.9,85,22.9,11.6,
KL,L11_3,83,6,0.3,0.8,7,6.5,3.4,
KL,L8_1,135,20,0.7,1.1,33,16.7,9.4,
KL,L8_2,150,12,0.8,1.4,20.5,16.6,9.1,
KL,L8_3,138,12,1,1.1,30.5,14.1,7.4,
KL,I6_1,130,10,0.2,1.3,15,14.4,6.9,
KL,I6_2,220,17,0.8,2,32.5,16.6,8.8,
KL,I6_3,165,17,0.9,1.3,28.5,15.8,8.7,
KL,F6_1,114,10,0.8,1.1,24.5,16.3,8.6,
KL,F6_2,175,18,0.6,1.6,52.5,21.8,11.8,
KL,F6_3,265,29,1.3,2.1,142,24.5,12.8,
KL,D6_1,94,7,0.5,1,,6.4,3.3,
KL,D6_2,134,13,0.7,1.1,14.5,13.5,6.8,
KL,D6_3,120,9,0.8,1.2,11,11.3,5.8,
KL,D5_1,272,25,0.8,2.2,101.5,21.7,12.4,
KL,D5_2,148,13,0.8,1.5,18.5,18.2,8.9,
KL,D4_1,193,20,0.6,1.4,53,26.2,13.1,
KL,13_1,90,9,0.4,0.9,5.5,6.1,3.3,
KL,12_1,186,12,0.6,0.6,18,7.2,3.7,
KL,12_2,45,6,0.2,0.4,2.5,2.8,1.4,
KL,12_3,234,19,1.4,1.5,28.5,11.8,6.2,star location
KL,21_1,132,11,0.8,1.1,21.5,,,
KL,21_2,82,9,0.4,0.8,6.5,7.1,3.6,
KL,21_3,140,15,1.4,1.8,24.5,,,
JO,G1_1,244,26,1.3,1.8,57,,,
JO,G1_2,260,41,0.4,1.9,173.5,,,
JO,F3_1,318,37,0.1,2.5,161.5,,,
JO,F3_2,237,27,0.6,1.9,92.5,,,
JO,F5_1,303,35,0.6,2.1,90,,,
JO,F5_2,220,26,0.9,2.2,99.5,,,
JO,F6_1,350,52,0.8,2.3,193.5,,,
JO,I5_1,222,20,0.8,1.7,62.5,,,
JO,I5_2,266,33,0.8,2.2,180,,,
JO,I5_3,53,8,0.1,0.5,8,,,
JO,I4_1,225,19,0.2,1.4,51.5,,,
JO,I4_2,74,5,0.3,0.8,5,,,
JO,I4_3,280,32,1.5,2.3,129.5,,,
JO,I3_1,300,30,1.4,3,75,,,star BD and weights
JO,I1_1,210,32,1,1.9,62.5,,,
JO,I1_2,92,8,0.8,0.3,8,,,
JO,H1_1,230,15,0.7,1.5,43,,,
JO,H1_2,94,9,0.2,0.9,11,,,
JO,H1_3,207,21,1,1.4,37.5,,,
JO,E1_1,260,29,0.6,1.5,53,,,
